Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
14	al	imm8			I			V,V
15	ax	imm16			I	OperandSizeOverride		V,V
15	eax	imm32			I			V,V
15	rax	imm32,Signed			I	REX.W		V,NE
80/2	rm8	imm8			MI			V,V
81/2	rm16	imm16			MI	OperandSizeOverride		V,V
81/2	rm32	imm32			MI			V,V
81/2	rm64	imm32,Signed			MI	REX.W		V,NE
83/2	rm16	imm8,Signed			MI	OperandSizeOverride		V,V
83/2	rm32	imm8,Signed			MI			V,V
83/2	rm64	imm8,Signed			MI	REX.W		V,NE
10	rm8	r8			MR			V,V
11	rm16	r16			MR	OperandSizeOverride		V,V
11	rm32	r32			MR			V,V
11	rm64	r64			MR	REX.W		V,NE
12	r8	rm8			RM			V,V
13	r16	rm16			RM	OperandSizeOverride		V,V
13	r32	rm32			RM			V,V
13	r64	rm64			RM	REX.W		V,NE
