Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
04	al,Write	imm8			I			V,V
05	ax,Write	imm16			I	OperandSizeOverride		V,V
05	eax,Write	imm32			I			V,V
05	rax,Write	imm32,Signed			I	REX.W		V,NE
80/0	rm8,Write	imm8			MI			V,V
81/0	rm16,Write	imm16			MI	OperandSizeOverride		V,V
81/0	rm32,Write	imm32			MI			V,V
81/0	rm64,Write	imm32			MI	REX.W		V,NE
83/0	rm16,Write	imm8,Signed			MI	OperandSizeOverride		V,V
83/0	rm32,Write	imm8,Signed			MI			V,V
83/0	rm64,Write	imm8,Signed			MI			V,NE
00	rm8,Write	r8			MR			V,V
01	rm16,Write	r16			MR	OperandSizeOverride		V,V
01	rm32,Write	r32			MR			V,V
01	rm64,Write	r64			MR	REX.W		V,NE
02	r8,Write	rm8			RM			V,V
03	r16,Write	rm16			RM	OperandSizeOverride		V,V
03	r32,Write	rm32			RM			V,V
03	r64,Write	rm64			RM	REX.W		V,NE
