Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
24	al,Write	imm8			I			V,V
25	ax,Write	imm16			I	OperandSizeOverride		V,V
25	eax,Write	imm32			I			V,V
25	rax,Write	imm32			I	REX.W		V,NE
80/4	rm8,Write	imm8			MI			V,V
81/4	rm16,Write	imm16			MI	OperandSizeOverride		V,V
81/4	rm32,Write	imm32			MI			V,V
81/4	rm64,Write	imm32			MI	REX.W		V,NE
83/4	rm16,Write	imm8			MI	OperandSizeOverride		V,V
83/4	rm32,Write	imm8			MI			V,V
83/4	rm64,Write	imm8			MI	REX.W		V,NE
20	rm8,Write	r8			MR			V,V
21	rm16,Write	r16			MR	OperandSizeOverride		V,V
21	rm32,Write	r32			MR			V,V
21	rm64,Write	r64			MR	REX.W		V,NE
22	r8,Write	rm8			RM			V,V
23	r16,Write	rm16			RM	OperandSizeOverride		V,V
23	r32,Write	rm32			RM			V,V
23	r64,Write	rm64			RM	REX.W		V,NE
