Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
88	rm8,Write	r8			MR			V,V
89	rm16,Write	r16			MR	OperandSizeOverride		V,V
89	rm32,Write	r32			MR			V,V
89	rm64,Write	r64			MR	REX.W		V,NE
8A	r8,Write	rm8			RM			V,V
8B	r16,Write	rm16			RM	OperandSizeOverride		V,V
8B	r32,Write	rm32			RM			V,V
8B	r64,Write	rm64			RM	REX.W		V,NE
8C	rm16,Write	Sreg			MR	OperandSizeOverride		V,V
8C	r32,Write	Sreg			MR			V,V
8C	r64,Write	Sreg			MR	REX.W		V,V
8E	Sreg,Write	rm16			RM			V,V
8E	Sreg,Write	rm64			RM	REX.W		V,V
A0	al,Write	moffs8			FD			V,V
A1	ax,Write	moffs16			FD	OperandSizeOverride		V,V
A1	eax,Write	moffs32			FD			V,V
A1	rax,Write	moffs64			FD	REX.W		V,NE
A2	moffs8,Write	al			TD			V,V
A3	moffs16,Write	ax			TD	OperandSizeOverride		V,V
A3	moffs32,Write	eax			TD			V,V
A3	moffs64,Write	rax			TD	REX.W		V,NE
B0+	r8,Write	imm8			OI			V,V
B8+	r16,Write	imm16			OI	OperandSizeOverride		V,V
B8+	r32,Write	imm32			OI			V,V
B8+	r64,Write	imm64			OI	REX.W		V,NE
C6/0	rm8,Write	imm8			MI			V,V
C7/0	rm16,Write	imm16			MI	OperandSizeOverride		V,V
C7/0	rm32,Write	imm32			MI			V,V
C7/0	rm64,Write	imm32,Signed			MI	REX.W		V,NE
