Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
8F/0	rm16,Write				M	OperandSizeOverride		V,V
8F/0	rm32,Write				M			NE,V
8F/0	rm64,Write				M			V,NE
58+	r16,Write				O	OperandSizeOverride		V,V
58+	r32,Write				O			NE,V
58+	r64,Write				O			V,NE
1F	ds,Write				ZO			I,V
07	es,Write				ZO			I,V
17	ss,Write				ZO			I,V
0F,A1	fs,Write				ZO	OperandSizeOverride		V,V
0F,A1	fs,Write				ZO			NE,V
0F,A1	fs,Write				ZO			V,NE
0F,A9	gs,Write				ZO	OperandSizeOverride		V,V
0F,A9	gs,Write				ZO			NE,V
0F,A9	gs,Write				ZO			V,NE
