Instruction	OSZAPCTIDNR	Lock	Rep	Repx
aaa	???U?M.....	false	false	false
aad	?MM?M?.....	false	false	false
aam	?MM?M?.....	false	false	false
aas	???U?M.....	false	false	false
adc	MMMMMU.....	true	false	false
add	MMMMMM.....	true	false	false
and	0MM?M0.....	true	false	false
arpl	..M........	false	false	false
bound	...........	false	false	false
bsf	??M???.....	false	false	false
bsr	??M???.....	false	false	false
bswap	...........	false	false	false
bt	??.??M.....	false	false	false
btc	??.??M.....	true	false	false
btr	??.??M.....	true	false	false
bts	??.??M.....	true	false	false
call	...........	false	false	false
cbw	...........	false	false	false
cdq	...........	false	false	false
clc	.....0.....	false	false	false
cld	........0..	false	false	false
cli	.......0...	false	false	false
clts	...........	false	false	false
cmc	.....M.....	false	false	false
cmova	..T..T.....	false	false	false
cmovbe	..T..T.....	false	false	false
cmovc	.....T.....	false	false	false
cmovg	TTT........	false	false	false
cmovge	TT.........	false	false	false
cmovl	TT.........	false	false	false
cmovle	TTT........	false	false	false
cmovnc	.....T.....	false	false	false
cmovno	T..........	false	false	false
cmovnp	....T......	false	false	false
cmovns	.T.........	false	false	false
cmovnz	..T........	false	false	false
cmovo	T..........	false	false	false
cmovp	....T......	false	false	false
cmovs	.T.........	false	false	false
cmovz	..T........	false	false	false
cmp	MMMMMM.....	false	false	false
cmps	MMMMMM..T..	false	false	true
cmpxchg	MMMMMM.....	true	false	false
cmpxchg8b	..M........	true	false	false
comisd	00M0MM.....	false	false	false
comiss	00M0MM.....	false	false	false
cpuid	...........	false	false	false
cqo	...........	false	false	false
cwd	...........	false	false	false
daa	?MMUMU.....	false	false	false
das	?MMUMU.....	false	false	false
dec	MMMMM......	true	false	false
div	??????.....	false	false	false
enter	...........	false	false	false
esc	...........	false	false	false
fcmovb	.....T.....	false	false	false
fcmovbe	..T..T.....	false	false	false
fcmove	..T........	false	false	false
fcmovnb	.....T.....	false	false	false
fcmovnbe	..T..T.....	false	false	false
fcmovne	..T........	false	false	false
fcmovnu	....T......	false	false	false
fcmovu	....T......	false	false	false
fcomi	00M0MM.....	false	false	false
fcomip	00M0MM.....	false	false	false
fucomi	00M0MM.....	false	false	false
fucomip	00M0MM.....	false	false	false
hlt	...........	false	false	false
idiv	??????.....	false	false	false
imul	M????M.....	false	false	false
in	...........	false	false	false
inc	MMMMM......	true	false	false
ins	........T..	false	true	false
int	......0..0.	false	false	false
into	T.....0..0.	false	false	false
invd	...........	false	false	false
invlpg	...........	false	false	false
iret	RRRRRRRRRT.	false	false	false
ja	..T..T.....	false	false	false
jbe	..T..T.....	false	false	false
jc	.....T.....	false	false	false
jcxz	...........	false	false	false
jg	TTT........	false	false	false
jge	TT.........	false	false	false
jl	TT.........	false	false	false
jle	TTT........	false	false	false
jmp	...........	false	false	false
jnc	.....T.....	false	false	false
jno	T..........	false	false	false
jnp	....T......	false	false	false
jns	.T.........	false	false	false
jnz	..T........	false	false	false
jo	T..........	false	false	false
jp	....T......	false	false	false
js	.T.........	false	false	false
jz	..T........	false	false	false
lahf	...........	false	false	false
lar	..M........	false	false	false
lds	...........	false	false	false
lea	...........	false	false	false
leave	...........	false	false	false
les	...........	false	false	false
lfs	...........	false	false	false
lgdt	...........	false	false	false
lgs	...........	false	false	false
lidt	...........	false	false	false
lldt	...........	false	false	false
lmsw	...........	false	false	false
lock	...........	false	false	false
lods	........T..	false	true	false
loop	...........	false	false	false
loope	..T........	false	false	false
loopne	..T........	false	false	false
lsl	..M........	false	false	false
lss	...........	false	false	false
ltr	...........	false	false	false
monitor	...........	false	false	false
mov	...........	false	false	false
movcontrol	??????.....	false	false	false
movdebug	??????.....	false	false	false
movs	........T..	false	true	false
movsx	...........	false	false	false
movtest	??????.....	false	false	false
movzx	...........	false	false	false
mul	M????M.....	false	false	false
mwait	...........	false	false	false
neg	MMMMMM.....	true	false	false
nop	...........	false	false	false
not	...........	true	false	false
or	0MM?M0.....	false	false	false
out	...........	false	false	false
outs	........T..	false	true	false
pause	...........	false	false	false
pop	...........	false	false	false
popa	...........	false	false	false
popcnt	M00000.....	false	false	false
popf	RRRRRRRRRR.	false	false	false
push	...........	false	false	false
pusha	...........	false	false	false
pushf	...........	false	false	false
rcl	?....U.....	false	false	false
rcl1	M....U.....	false	false	false
rcr	?....U.....	false	false	false
rcr1	M....U.....	false	false	false
rdmsr	...........	false	false	false
rdpmc	...........	false	false	false
rdtsc	...........	false	false	false
rdtscp	...........	false	false	false
ret	...........	false	false	false
rol	?....M.....	false	false	false
rol1	M....M.....	false	false	false
ror	?....M.....	false	false	false
ror1	M....M.....	false	false	false
