Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
1C	al	imm8			I			V,V
1D	ax	imm16			I	OperandSizeOverride		V,V
1D	eax	imm32			I			V,V
1D	rax	imm32,Signed			I	REX.W		V,NE
80/3	rm8	imm8			MI			V,V
81/3	rm16	imm16			MI	OperandSizeOverride		V,V
81/3	rm32	imm32			MI			V,V
81/3	rm64	imm32,Signed			MI	REX.W		V,NE
83/3	rm16	imm8,Signed			MI	OperandSizeOverride		V,V
83/3	rm32	imm8,Signed			MI			V,V
83/3	rm64	imm8,Signed			MI	REX.W		V,NE
18	rm8	r8			MR			V,V
19	rm16	r16			MR			V,V
19	rm32	r32			MR			V,V
19	rm64	r64			MR	REX.W		V,NE
1A	r8	rm8			RM			V,V
1B	r16	rm16			RM			V,V
1B	r32	rm32			RM			V,V
1B	r64	rm64			RM	REX.W		V,NE
